
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.124836  0.35035  0 
-0.121916  0.346346  0 
-0.119031  0.342342  0 
-0.116178  0.338338  0 
-0.113359  0.334334  0 
-0.110574  0.33033  0 
-0.107823  0.326326  0 
-0.105104  0.322322  0 
-0.10242  0.318318  0 
-0.10101  0.316189  0 
-0.0997999  0.314314  0 
-0.0972479  0.31031  0 
-0.0947285  0.306306  0 
-0.0922419  0.302302  0 
-0.0897881  0.298298  0 
-0.0873669  0.294294  0 
-0.0849785  0.29029  0 
-0.0826227  0.286286  0 
-0.0802997  0.282282  0 
-0.0780094  0.278278  0 
-0.0757519  0.274274  0 
-0.073527  0.27027  0 
-0.0713349  0.266266  0 
-0.0691755  0.262262  0 
-0.0670488  0.258258  0 
-0.0649548  0.254254  0 
-0.0628935  0.25025  0 
-0.060865  0.246246  0 
-0.0606061  0.245727  0 
-0.0588948  0.242242  0 
-0.0569607  0.238238  0 
-0.0550589  0.234234  0 
-0.0531892  0.23023  0 
-0.0513518  0.226226  0 
-0.0495467  0.222222  0 
-0.0477737  0.218218  0 
-0.046033  0.214214  0 
-0.0443246  0.21021  0 
-0.0426483  0.206206  0 
-0.0410043  0.202202  0 
-0.0393926  0.198198  0 
-0.0378131  0.194194  0 
-0.0362658  0.19019  0 
-0.0347507  0.186186  0 
-0.0332679  0.182182  0 
-0.0318173  0.178178  0 
-0.030399  0.174174  0 
-0.0290129  0.17017  0 
-0.027659  0.166166  0 
-0.0263374  0.162162  0 
-0.025048  0.158158  0 
-0.0237908  0.154154  0 
-0.0225659  0.15015  0 
-0.0213732  0.146146  0 
-0.0202127  0.142142  0 
-0.0190899  0.138138  0 
-0.0179993  0.134134  0 
-0.0169408  0.13013  0 
-0.0159143  0.126126  0 
-0.0149199  0.122122  0 
-0.0139576  0.118118  0 
-0.0130273  0.114114  0 
-0.0121292  0.11011  0 
-0.0112631  0.106106  0 
-0.0104291  0.102102  0 
-0.00962717  0.0980981  0 
-0.00885731  0.0940941  0 
-0.00811954  0.0900901  0 
